flowsheet_name,measure_name,freq,known,label
Complex Assessment,Cardiac (WDL),3438425,1,0
Encounter Vitals,Weight,3422217,1,0
ICU Vital Signs,Speech,3413524,1,0
IV Assessment,Lumen #2 Status,3409602,1,0
Complex Assessment,Gastrointestinal (WDL),3404776,1,0
Complex Assessment,Integumentary (WDL),3404534,1,0
IV Assessment,IV Line Status Single,3399242,1,0
Complex Assessment,HEENT (WDL),3381838,1,0
Complex Assessment,Musculoskeletal (WDL),3374426,1,0
ICU Vital Signs,Neuro Checks Needed,3333301,1,0
Complex Assessment,Genitourinary (WDL),3332418,1,0
Intake/Output,Urine Appearance,3324272,1,0
Phase I / Phase II,Activity,3314740,1,0
Encounter Vitals,BP,3312702,1,bp
Assessment,Dressing Status,3308871,1,0
Complex Assessment,Psychosocial (WDL),3300511,1,0
Intake/Output,Urine Color,3265647,1,0
Ventilator Documentation,Vent Status,3242018,1,0
Daily Cares/Safety,Hygiene Level of Assistance,3208145,1,0
Daily Cares/Safety,Morse Fall Risk Score (Retired),3205776,1,0
Vital Signs,Pain Location,3197130,1,0
Complex Assessment,Edema,3196402,1,0
ICU Vital Signs,Volume (mL),3173130,1,0
ICU Vitals & Intake/Output,BP,3171596,1,bp
Assessment,Anus/Rectum (WDL),3162417,1,0
ICU Vitals & Intake/Output,MAP (mmHg),3156009,1,0
Rx Score Calculations,Child-Pugh estimate,3150050,1,0
Phase I / Phase II,Pain Assessment,3135526,1,0
Complex Assessment,Dressing Status(Retired USE Dressing Status above),3134738,1,0
Complex Assessment,Eye Opening,3102964,1,0
Assessment,Skin Location,3102702,1,0
Assessment,RLE,3098758,1,0
Assessment,LLE,3097013,1,0
ICU Vital Signs,Language,3096221,1,0
Daily Cares/Safety,Special Mattress,3091660,1,0
Data,Volume (mL),3061425,1,0
Devices Testing Template,N2O,3061411,1,0
Complex Assessment,Charting Type,3055611,1,0
ICU Vitals & Intake/Output,Arterial Line MAP (mmHg),3050569,1,0
Vital Signs,Patient Activity,3040008,1,0
Assessment,Bilateral Breath Sounds (All Lobes),3039486,1,0
ICU Vitals & Intake/Output,Arterial Line BP,3038499,1,bp
Vital Signs,Pain Type,3038195,1,0
Complex Assessment,Capillary Refill,3036576,1,0
Vital Signs,MAP,3026760,1,0
Ventilator Documentation,PEEP/CPAP/EPAP (cm H2O),3022585,1,peep
Complex Assessment,Respiratory Pattern,3018282,1,0
Complex Assessment,Bilateral Breath Sounds (All Lobes),3013103,1,0
ICU Vitals & Intake/Output,Pulse Oximetry Type,2989043,1,0
Assessment,Orientation ,2988788,1,0
Complex Assessment,Skin Condition/Temp,2979156,1,0
Complex Assessment,Skin Color,2977700,1,0
Encounter Vitals,Height,2977676,1,0
Complex Assessment,Best Verbal Response,2976967,1,0
Complex Assessment,Best Motor Response,2975205,1,0
Ventilator Documentation,Adult Vent Mode,2956626,1,0
Ventilator Documentation,(Vent) Resp Rate Observed ,2941779,1,0
Vital Signs,Arterial BP,2938787,1,bp
Complex Assessment,Glasgow Coma Scale Score,2934943,1,gcs
Ventilator Documentation,Minute Ventilation (L/min),2934846,1,0
Assessment,Level of Consciousness,2926782,1,0
Intake/Output,Urine Odor,2919038,1,0
Complex Assessment,Skin Integrity,2913274,1,0
Assessment,LUE,2911853,1,0
Complex Assessment,LLE Sensation,2909172,1,0
Assessment,Respiratory Pattern,2908903,1,0
Assessment,RUE,2908449,1,0
Assessment,Abdomen Inspection,2898064,1,0
Assessment,Last BM Date,2894679,1,0
ICU Vitals & Intake/Output,Patient Activity,2873727,1,0
Complex Assessment,Sensory Perceptions,2873160,1,0
Complex Assessment,Moisture,2872654,1,0
Complex Assessment,Activity,2872539,1,0
Complex Assessment,Mobility,2871906,1,0
Complex Assessment,Nutrition,2871375,1,0
Complex Assessment,Friction and Shear,2868454,1,0
Vital Signs,NIBP (Mean),2863856,1,0
Vital Signs,NIBP,2859257,1,bp
Assessment,Pasero Opioid-Induced Sedation Scale (POSS),2857673,1,0
Phase I / Phase II,Respiration,2856655,1,0
Phase I / Phase II,Circulation,2856134,1,0
Phase I / Phase II,Consciousness,2855806,1,0
Intake/Output - OLD,Urine,2855321,1,0
Phase I / Phase II,Oxygen Saturation,2853637,1,0
Assessment,Bowel Sounds (All Quadrants),2847377,1,0
Complex Assessment,RUE Sensation,2844348,1,0
Daily Cares/Safety,Seizure Precautions,2837708,1,0
Complex Assessment,Braden Scale Score,2832629,1,0
Daily Cares/Safety,Family/Significant Other Update,2827466,1,0
Intake/Output,Flush Intake Tube #1 (mL),2823748,1,0
Complex Assessment,Cardiac Regularity,2805559,1,0
Encounter Vitals,Pulse,2799936,1,hr
Assessment,Skin Turgor,2797489,1,0
Complex Assessment,Cardiac Interventions,2796332,1,0
Ventilator Documentation,Type of Airway,2789993,1,0
Assessment,Richmond Agitation Sedation Scale (RASS),2789510,1,0
Phase I / Phase II,Modified Aldrete Score,2760913,1,0
Ventilator Documentation,Vent Type,2751035,1,0
Ventilator Documentation,PIP Observed (cm H2O),2746954,1,0
Screenings,(RETIRED) Have you had close contact with anyone with confirmed or suspected COVID-19 in the past 10 days?,2745932,1,0
Vital Signs,Pain Interventions,2745693,1,0
Devices Testing Template,BIS SQI,2743576,1,0
Complex Assessment,Bowel Sounds (All Quadrants),2741832,1,0
Vital Signs,Pulse Oximetry Type,2741361,1,0
Screenings,"(RETIRED) Do you live in or work in a congregate living facility (ex. assisted living/skilled nursing facility, jail, prison)?",2730808,1,0
Complex Assessment,Abdomen Inspection,2727117,1,0
Ventilator Documentation,MAP (cmH2O),2721052,1,0
Vital Signs,N2O,2711138,1,0
Complex Assessment,Respiratory Depth/Rhythm,2698739,1,0
Complex Assessment,Chest Assessment,2689452,1,0
ICU Vital Signs,Facial Palsy,2683052,1,0
Ventilator Documentation,FiO2 (%),2674901,1,fio2
ICU Vitals & Intake/Output,O2 Del Method,2666981,1,0
Complex Assessment,Respiratory Effort,2666733,1,0
Assessment,Speech,2665817,1,0
Assessment,Respiratory Depth/Rhythm,2665450,1,0
ICU Vital Signs,Core (Body) Temperature,2662314,1,temp
ICU Vitals & Intake/Output,ETCO2 (mmHg) Vent,2657603,1,0
Complex Assessment,RLE,2656904,1,0
Complex Assessment,LLE,2651002,1,0
Assessment,Respiratory Effort,2613445,1,0
IV Assessment,Lumen #1 Line Interventions,2611530,1,0
Complex Assessment,LUE,2604617,1,0
Complex Assessment,RUE,2603581,1,0
Complex Assessment,Cyanosis,2602988,1,0
Ventilator Documentation,High Insp. Press (alarm),2564812,1,0
Devices Testing Template,BIS EMG,2561558,1,0
Complex Assessment,Anus/Rectum (WDL),2561545,1,0
Ventilator Documentation,MV Low (alarm),2560334,1,0
Ventilator Documentation,High Rate (alarm),2547444,1,0
Assessment,Ramsay Scale (RS): Score,2531806,1,0
Vital Signs,Level of Consciousness,2526230,1,0
Ventilator Documentation,MV High (L/min) (alarm),2526192,1,0
Ventilator Documentation,Humidification,2524839,1,0
ICU Vitals & Intake/Output,FiO2 (%),2521751,1,fio2
Assessment,Palpation,2513706,1,0
Ventilator Documentation,VT (exhaled),2511302,1,0
Ventilator Documentation,Apnea Alarm On,2503995,1,0
Complex Assessment,Cardiac Symptoms,2501766,1,0
Complex Assessment,Palpation,2489524,1,0
Complex Assessment,R Pedal Pulse,2484329,1,0
COVID-19 Sched/Reg Screening,"(RETIRED) In the last 10 days have you had any new or worsening cough, SOB, fever (>=100F), body aches, loss of taste or smell, diarrhea or vomiting, or sore throat?",2482153,1,0
COVID-19 Sched/Reg Screening,(RETIRED) Have you had close contact with anyone with confirmed or suspected COVID-19 in the past 10 days?,2482033,1,0
CRRT,Access Pressure (mmHg),2480986,1,0
Phase I / Phase II,O2 Therapy,2480672,1,0
Complex Assessment,L Pedal Pulse,2476546,1,0
CRRT,Effluent Pressure (mmHg),2475906,1,0
CRRT,Return Pressure (mmHg),2473790,1,0
Complex Assessment,Drainage Description,2473380,1,0
Complex Assessment,Margins,2466481,1,0
Assessment,Integumentary Additional Assessments,2460457,1,0
Complex Assessment,R Radial Pulse,2454898,1,0
Vital Signs,Orientation ,2444761,1,0
Daily Cares/Safety,Auto Low/High - if selected proceed to interventions (retired),2438429,1,0
Devices Testing Template,BIS Monitor,2438227,1,0
Complex Assessment,L Radial Pulse,2438210,1,0
Ventilator Documentation,Vent ID,2436147,1,0
Complex Assessment,Level of Consciousness,2436101,1,0
Complex Assessment,Wound Status,2433695,1,0
Complex Assessment,Integumentary Additional Assessments,2429564,1,0
Complex Assessment,Orientation ,2427104,1,0
Ventilator Documentation,Suction Available,2426928,1,0
Complex Assessment,Bedside Cardiac Alarms Set,2425854,1,0
CRRT,Patient Fluid Removal Set Rate (mL/hr),2425671,1,0
Complex Assessment,Bedside Cardiac Audible,2424621,1,0
Assessment,R Eye,2420704,1,0
Ventilator Documentation,Resuscitation Bag Present,2420349,1,0
ICU Vitals & Intake/Output,Patient Position,2413271,1,0
Assessment,L Eye,2412206,1,0
Vital Signs,Core Temp,2410837,1,temp
Ventilator Documentation,Flow Meter Present,2408458,1,0
Devices Testing Template,BIS SEF,2407876,1,0
Ventilator Documentation,Pulse,2396395,1,0
Complex Assessment,Speech,2386617,1,0
Vital Signs,Behavior,2384922,1,0
Ventilator Documentation,Suction Catheter Present,2376987,1,0
Pre-Procedure Nursing Care Plan,Evaluation of Goals Met,2376519,1,0
Assessment,Drainage Odor,2375867,1,0
Assessment,Capillary Refill,2374935,1,0
Devices Testing Template,CVP (Mean),2373057,1,0
Ventilator Documentation,VT High (alarm),2372752,1,0
Assessment,Behavior,2372633,1,0
Vital Signs,Pain Orientation,2369960,1,0
Assessment,Modified Ramsey Scale: Score,2358856,1,0
Ventilator Documentation,Resp Rate (Set),2355781,1,0
Lines Drain Airways and Wounds,Site Assessment,2352150,1,0
Ventilator Documentation,VT Low (alarm),2350395,1,0
Assessment,R Pedal Pulse,2346930,1,0
Assessment,Cardiac Interventions,2346666,1,0
ICU Vitals & Intake/Output,Temp src,2341959,1,0
Assessment,L Pedal Pulse,2334085,1,0
IV Assessment,Lumen #2 Line Interventions ,2331711,1,0
Devices Testing Template,Vent Mode,2304350,1,0
Complex Assessment,Heart Sounds,2282115,1,0
Vital Signs,Speech,2279946,1,0
Complex Assessment,L Hand Grip,2269983,1,0
Complex Assessment,R Hand Grip,2269560,1,0
Intake/Output,Net Output (mL),2267327,1,0
Screenings,Have you been exposed to or tested positive for COVID-19 within the last 10 days?,2261742,1,0
Ventilator Documentation,SpO2,2254291,1,spo2
Intake/Output,Drain output (mL),2254071,1,0
Assessment,Gait Assessment,2252866,1,0
Complex Assessment,Last BM Date,2251952,1,0
Vital Signs,Clinical Progression,2247652,1,0
Complex Assessment,Cough,2246737,1,0
Assessment,Edema,2243122,1,0
Assessment,LLE Sensation,2238736,1,0
Complex Assessment,Skin Turgor,2234712,1,0
Vital Signs,Pain Descriptors,2232712,1,0
ICU Vital Signs,"N-PAT N-V Smiling.calm, relaxed none",2215703,1,0
ICU Vital Signs,N-PAT N-V Movement ,2214760,1,0
ICU Vital Signs,N-PAT N-V Facial Cues,2214540,1,0
ICU Vital Signs,N-PAT N-V Position/Guarding ,2213463,1,0
ICU Vital Signs,Percent Paced ,2204821,1,0
Daily Cares/Safety,Toileting: Level of assistance,2200034,1,0
ICU Vitals & Intake/Output,BP Location,2193231,1,0
ICU Vitals & Intake/Output,BP Method,2185521,1,0
Complex Assessment,R Eye,2175813,1,0
Ventilator Documentation,ETCO2 (mmHg) Vent,2175372,1,0
Assessment,Cyanosis,2174034,1,0
Complex Assessment,L Eye,2171397,1,0
ICU Vitals & Intake/Output,Urinary tube output (mL),2170328,1,0
Assessment,Cardiac Rhythm,2167958,1,0
Complex Assessment,Teeth and Gums,2161407,1,0
Intake/Output - OLD,P.O.,2151538,1,0
Assessment,GI Symptoms,2145597,1,0
COVID-19 Sched/Reg Screening,Have you been exposed to or tested positive for COVID-19 within the last 10 days?,2131238,1,0
Assessment,Passing Flatus,2128175,1,0
ICU Vital Signs,(Vent) Resp Rate Observed ,2124278,1,rr
ICU Vital Signs,MAP (cmH2O),2123164,1,0
ICU Vital Signs,VT (exhaled),2122773,1,0
ICU Vital Signs,Minute Ventilation (L/min),2120324,1,0
ICU Vital Signs,PAP (Mean),2119745,1,0
Assessment,R Radial Pulse,2119310,1,0
ICU Vital Signs,Activity,2116106,1,0
ICU Vital Signs,LLE Sensation,2114419,1,0
Assessment,L Radial Pulse,2113357,1,0
ICU Vital Signs,I:E Ratio,2112932,1,0
CRRT,Blood Flow Rate (mL/min),2112784,1,0
ICU Vital Signs,RUE Sensation,2109105,1,0
ICU Vital Signs,PIP Observed (cm H2O),2108467,1,0
IV Assessment,Line Necessity Reason Reviewed With Care Team,2107847,1,0
ICU Vital Signs,PAP,2102206,1,0
Assessment,Pressure Ulcer Prevention Interventions,2101458,1,0
ICU Vital Signs,RUE Motor Strength,2099875,1,0
Complex Assessment,Pulses,2099495,1,0
ICU Vital Signs,LUE Motor Strength,2097926,1,0
Daily Cares/Safety,Ambulation Response,2097746,1,0
ICU Vital Signs,RLE Motor Strength,2097465,1,0
ICU Vital Signs,LLE Motor Strength,2095757,1,0
ICU Vital Signs,R Pupil Size (mm),2095402,1,0
ICU Vital Signs,L Pupil Size (mm),2093459,1,0
ICU Vital Signs,R Pupil Reaction,2093034,1,0
Intake/Output,Output (mL),2091484,1,0
ICU Vital Signs,L Pupil Reaction,2091053,1,0
Assessment,Chest Assessment,2077269,1,0
Daily Cares/Safety,Reason patient is unable to participate in BMAT,2069267,1,0
(Research) COVID Respiratory Failure Score,Respiratory Failure Prediction Score (HRPO# 202003122),2068789,1,0
ICU Vital Signs,N-PAT N-V Score ,2065694,1,0
CRRT,Dialysate Flow Rate (mL/hr),2064067,1,0
OR Lines/Drains/Airways,Site Assessment,2063713,1,0
Daily Cares/Safety,Incontinence Protective Devices,2062576,1,0
RT Treatment,O2 Therapy,2052652,1,0
